,0,1,2,3,4,5
22,Hsa.3002,R22197,3' UTR,1,130829,60S RIBOSOMAL PROTEIN L32 (HUMAN);.
23,Hsa.1119,T59954,3' UTR,1,79441,THYMOSIN BETA-4 (HUMAN);.
24,Hsa.44472,H80240,3' UTR,2a,240814,INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR (Homo sapiens)
25,Hsa.4689,T95018,3' UTR,2a,120032,40S RIBOSOMAL PROTEIN S18 (Homo sapiens)
26,Hsa.45293,H86060,3' UTR,2a,222326,NEGATIVE FACTOR (Simian immunodeficiency virus)
27,Hsa.5710,T63484,3' UTR,1,81437,"""Human ornithine decarboxylase antizyme (Oaz) mRNA, complete cds.                                                                                                                                                                              """
28,Hsa.20836,R02593,3' UTR,2a,124094,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus)
29,Hsa.909,M11799,gene,1,N/A,"""Human MHC class I HLA-Bw58 gene, complete cds.                                                                                                                                                                                                        """
30,Hsa.878,T61609,3' UTR,1,78081,LAMININ RECEPTOR (HUMAN);.
31,Hsa.1648,T62220,3' UTR,1,79130,CALPACTIN I LIGHT CHAIN (HUMAN);.
32,Hsa.1836,T51574,3' UTR,1,72258,40S RIBOSOMAL PROTEIN S24 (HUMAN).
33,Hsa.1273,T48041,3' UTR,1,72117,Human messenger RNA fragment for the beta-2 microglobulin.
34,Hsa.19249,T96832,3' UTR,2a,121265,INTERFERON-ALPHA RECEPTOR PRECURSOR (Homo sapiens)
35,Hsa.2948,H54676,3' UTR,1,203220,60S RIBOSOMAL PROTEIN L18A (HUMAN);.
36,Hsa.7877,R86975,3' UTR,1,197282,40S RIBOSOMAL PROTEIN S28 (HUMAN);.
37,Hsa.1400,T63258,3' UTR,1,80068,ELONGATION FACTOR 1-ALPHA 1 (HUMAN);.
38,HSAC07,N/A,N/A,N/A,N/A,control
39,HSAC07,N/A,N/A,N/A,N/A,control
40,HSAC07,N/A,N/A,N/A,N/A,control
41,HSAC07,N/A,N/A,N/A,N/A,control
42,Hsa.8068,T57619,3' UTR,2a,75437,40S RIBOSOMAL PROTEIN S6 (Nicotiana tabacum)
43,Hsa.1139,T88723,3' UTR,1,109876,UBIQUITIN (HUMAN);.
44,Hsa.27083,R36455,3' UTR,2a,136795,NUCLEOLAR TRANSCRIPTION FACTOR 1 (Homo sapiens)
45,Hsa.3006,T61602,3' UTR,1,78084,40S RIBOSOMAL PROTEIN S11 (HUMAN);.
46,Hsa.5398,T58861,3' UTR,2a,77563,60S RIBOSOMAL PROTEIN L30E (Kluyveromyces lactis)
47,Hsa.2299,U21909,gene,1,N/A,"""Human cofilin mRNA, partial cds.                                                                                                                                                                                                                     """
48,Hsa.1013,T61661,3' UTR,1,78161,PROFILIN I (HUMAN);.
49,UMGAP,N/A,N/A,N/A,N/A,control
50,UMGAP,N/A,N/A,N/A,N/A,control
51,UMGAP,N/A,N/A,N/A,N/A,control
52,UMGAP,N/A,N/A,N/A,N/A,control
53,Hsa.2221,T52015,3' UTR,1,72642,ELONGATION FACTOR 1-GAMMA (HUMAN).
54,Hsa.1238,H24754,3' UTR,1,160886,FRUCTOSE-BISPHOSPHATE ALDOLASE A (HUMAN);.
55,Hsa.6039,H22688,3' UTR,1,173474,UBIQUITIN (HUMAN);.
56,Hsa.98,T93094,3' UTR,1,118704,ANNEXIN II (HUMAN);.
57,Hsa.2019,T51560,3' UTR,1,72227,40S RIBOSOMAL PROTEIN S16 (HUMAN).
58,Hsa.1732,U12255,gene,1,N/A,"""Human IgG Fc receptor hFcRn mRNA, complete cds.                                                                                                                                                                                                      """
59,Hsa.5363,R01182,3' UTR,1,123748,60S RIBOSOMAL PROTEIN L38 (HUMAN);.
60,Hsa.8093,R74349,3' UTR,2a,157011,TUBULIN ALPHA-2 CHAIN (Drosophila melanogaster)
61,Hsa.5444,T48804,3' UTR,1,70269,40S RIBOSOMAL PROTEIN S24 (HUMAN).
62,Hsa.3094,H77302,3' UTR,1,233465,60S RIBOSOMAL PROTEIN (HUMAN);.
63,Hsa.1949,M14630,gene,1,N/A,"""Human prothymosin alpha mRNA, complete cds.                                                                                                                                                                                                          """
64,Hsa.361,T63499,3' UTR,1,81466,"""HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-26(A-10) A*2601 ALPHA (HUMAN);.                                                                                                                                                                      """
65,Hsa.8125,T71025,3' UTR,1,84103,Human (HUMAN);.
66,Hsa.2361,T51534,3' UTR,1,72396,CYSTATIN C PRECURSOR (HUMAN).
67,Hsa.255,T69026,3' UTR,1,82338,60S RIBOSOMAL PROTEIN L9 (HUMAN);.
68,Hsa.2699,H68220,3' UTR,1,239040,UBIQUITIN-LIKE PROTEIN FUBI (HUMAN);.
69,Hsa.1013,T61661,3' UTR,1,78161,PROFILIN I (HUMAN);.
70,Hsa.2542,X57346,gene,1,N/A,H.sapiens mRNA for HS1 protein.
71,Hsa.678,H55758,3' UTR,1,203413,ALPHA ENOLASE (HUMAN);.
72,Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus)
73,Hsa.44403,H79575,3' UTR,2a,239681,BOTULINUM NEUROTOXIN TYPE C1 PRECURSOR (Clostridium botulinum)
74,Hsa.2800,X55715,gene,1,N/A,Human Hums3 mRNA for 40S ribosomal protein s3.
75,Hsa.25867,H13281,3' UTR,2a,148358,PHOTOSYSTEM II 44 KD REACTION CENTRE PROTEIN (Synechocystis sp.)
76,Hsa.6977,R49974,3' UTR,2a,152762,LEUKOCYTE ANTIGEN CD37 (Homo sapiens)
77,Hsa.24121,R42570,3' UTR,2a,30822,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT (Bos taurus)
78,Hsa.9304,T47645,3' UTR,2a,71309,GONADOTROPIN-RELEASING HORMONE RECEPTOR (Homo sapiens)
79,Hsa.2063,M24398,gene,1,N/A,"""Human parathymosin mRNA, complete cds. (HUMAN);contains element MER22 repetitive element ;.                                                                                                                                                          """
80,Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus)
81,Hsa.938,M31013,gene,1,N/A,"""Human nonmuscle myosin heavy chain (NMHC) mRNA, 3' end.                                                                                                                                                                                               """
82,Hsa.33965,H05803,3' UTR,2a,44039,"""DIHYDROPRYRIDINE-SENSITIVE L-TYPE, SKELETAL MUSCLE CALCIUM CHANNEL ALPHA-1 SUBUNIT (Cyprinus carpio)                                                                                                                                        """
83,Hsa.2219,T56674,3' UTR,1,69387,CD63 ANTIGEN (HUMAN).
84,Hsa.2665,T68848,3' UTR,1,82178,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A (HUMAN);.
85,Hsa.954,T72938,3' UTR,1,84350,QM PROTEIN (HUMAN);.
86,Hsa.1812,M94345,gene,1,N/A,"""Homo sapiens macrophage capping protein mRNA, complete cds.                                                                                                                                                                                          """
87,Hsa.27685,R50158,3' UTR,2a,153229,MITOCHONDRIAL LON PROTEASE HOMOLOG PRECURSOR (Homo sapiens)
88,Hsa.20,D12686,gene,1,N/A,Human mRNA for eukaryotic initiation factor 4 gamma (eIF-4 gamma).
89,Hsa.2151,U09873,gene,1,N/A,"""Human actin bundling protein mRNA, complete cds.                                                                                                                                                                                                     """
90,Hsa.489,T47144,3' UTR,1,74837,JN0549 RIBOSOMAL PROTEIN YL30.
91,Hsa.12257,H64398,3' UTR,2a,238374,CALCINEURIN B SUBUNIT ISOFORM 1 (Homo sapiens)
92,Hsa.2026,T87873,3' UTR,1,115778,JC2042 SUI1 TRANSLATION INITIATION FACTOR - ;.
93,Hsa.1500,M11354,gene,1,N/A,"""Human H3.3 histone, class B mRNA, complete cds.                                                                                                                                                                                                      """
94,Hsa.5292,R01124,3' UTR,2a,124800,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus)
95,Hsa.18897,T95318,3' UTR,2a,120517,"""TRANSCRIPTION INITIATION FACTOR IIF, ALPHA SUBUNIT (Homo sapiens)                                                                                                                                                                          """
96,Hsa.45222,H85596,3' UTR,2a,223220,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II DELTA CHAIN (Rattus norvegicus)
97,Hsa.32730,H13194,3' UTR,2a,158868,ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 2 (Homo sapiens)
98,Hsa.2419,D45887,gene,1,N/A,"""Human mRNA for calmodulin, complete cds.                                                                                                                                                                                                             """
99,Hsa.1985,T52185,3' UTR,1,71940,P17074 40S RIBOSOMAL PROTEIN.
100,Hsa.10363,T89730,3' UTR,2a,117433,TUBULIN BETA-1 CHAIN (Gallus gallus)
101,Hsa.3566,T57633,3' UTR,1,75467,40S RIBOSOMAL PROTEIN S8 (HUMAN).
102,Hsa.689,T62878,3' UTR,1,79597,CYTOCHROME C OXIDASE POLYPEPTIDE IV PRECURSOR (HUMAN);.
103,Hsa.624,M57710,gene,1,N/A,"""Human IgE-binding protein (epsilon-BP) mRNA, complete cds.                                                                                                                                                                                            """
104,Hsa.1978,T72879,3' UTR,1,84299,60S RIBOSOMAL PROTEIN L7A (HUMAN);.
105,Hsa.3409,T53396,3' UTR,2a,68775,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus)
106,Hsa.5346,T63370,3' UTR,2a,81523,GUANINE NUCLEOTIDE-BINDING PROTEIN BETA SUBUNIT-LIKE PROTEIN 12.3 (Homo sapiens)
107,Hsa.38205,R91062,3' UTR,2a,194923,D(1C) DOPAMINE RECEPTOR (Xenopus laevis)
108,Hsa.2582,T56934,3' UTR,1,68301,H.sapiens alpha NAC mRNA.
109,Hsa.11712,T61446,3' UTR,2a,79900,PUTATIVE DNA BINDING PROTEIN A20 (Homo sapiens)
110,Hsa.10755,R78934,3' UTR,2a,146232,ENDOTHELIAL ACTIN-BINDING PROTEIN (Homo sapiens)
111,Hsa.2600,Z23115,gene,1,N/A,H.sapiens bcl-xL mRNA.
112,Hsa.68,M86842,gene,1,N/A,"""Human cAMP response element regulatory protein (CREB2) mRNA, complete cds.                                                                                                                                                                             """
113,Hsa.4316,T93589,3' UTR,2a,118042,TUBULIN ALPHA-6 CHAIN (Mus musculus)
114,Hsa.2918,X67325,gene,1,N/A,H.sapiens p27 mRNA.
115,Hsa.914,V00523,gene,1,N/A,Human mRNA for histocompatibility antigen HLA-DR (fragment). The alpha chain.
116,Hsa.7280,X79066,gene,1,N/A,H. sapiens ERF-1 mRNA 5' end.
117,Hsa.8126,T72889,3' UTR,1,84178,INTERFERON-INDUCIBLE PROTEIN 1-8U (HUMAN);.
118,Hsa.1737,T72175,3' UTR,1,85528,IG KAPPA CHAIN PRECURSOR V-III REGION (HUMAN);.
119,Hsa.1939,X17042,gene,1,N/A,Human mRNA for hematopoetic proteoglycan core protein.
120,Hsa.2929,X04106,gene,1,N/A,Human mRNA for calcium dependent protease (small subunit).
121,Hsa.21232,R06716,3' UTR,2a,126474,MEVALONATE KINASE (Homo sapiens)
122,Hsa.1961,M28214,gene,1,N/A,RAS-RELATED PROTEIN RAB-3B (HUMAN);.
123,Hsa.916,V00522,gene,1,N/A,Human mRNA encoding major histocompatibility complex gene HLA-DR beta-I.
124,Hsa.1732,U12255,gene,1,N/A,"""Human IgG Fc receptor hFcRn mRNA, complete cds.                                                                                                                                                                                                      """
125,Hsa.13183,T74257,3' UTR,2a,84713,"""ALKALINE PHOSPHATASE, PLACENTAL TYPE 1 PRECURSOR (Homo sapiens)                                                                                                                                                                             """
126,Hsa.4252,T51529,3' UTR,2a,72384,ELONGATION FACTOR 1-DELTA (Artemia salina)
127,Hsa.572,M84326,gene,1,N/A,"""Human ADP-ribosylation factor 1 mRNA, complete cds.                                                                                                                                                                                                   """
128,Hsa.45260,H85878,3' UTR,2a,222247,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens)
129,Hsa.73,R85464,3' UTR,1,179999,ATP SYNTHASE LIPID-BINDING PROTEIN P2 PRECURSOR (HUMAN);.
130,Hsa.3225,U27699,gene,1,N/A,"""Human pephBGT-1 betaine-GABA transporter mRNA, complete cds.                                                                                                                                                                                         """
131,Hsa.6977,R49974,3' UTR,2a,152762,LEUKOCYTE ANTIGEN CD37 (Homo sapiens)
132,Hsa.3129,L38696,gene,1,N/A,"""Homo sapiens autoantigen p542 mRNA, 3' end of cds.                                                                                                                                                                                                   """
133,Hsa.34312,H87366,3' UTR,2a,252444,CENTROMERIC PROTEIN E (Homo sapiens)
134,Hsa.41309,X86779,gene,1,N/A,H.sapiens mRNA for FAST kinase.
135,Hsa.537,T62856,3' UTR,1,79571,P09895 60S RIBOSOMAL PROTEIN ;.
136,Hsa.36694,D25217,gene,1,N/A,"""Human mRNA (KIAA0027) for ORF, partial cds.                                                                                                                                                                                                         """
137,Hsa.957,M26697,gene,1,N/A,"""Human nucleolar protein (B23) mRNA, complete cds.                                                                                                                                                                                                     """
138,Hsa.668,T65003,3' UTR,1,66879,P29316 60S RIBOSOMAL PROTEIN ;.
139,Hsa.10975,H46728,3' UTR,2a,177924,HYPOTHETICAL HIT-LIKE PROTEIN HI0961 (Haemophilus influenzae)
140,Hsa.451,D21261,gene,1,N/A,SM22-ALPHA HOMOLOG (HUMAN);.
141,Hsa.41357,M27635,gene,1,N/A,"""Homo sapiens MHC HLA-DRw12 allele mRNA, beta-1 chain, complete cds.                                                                                                                                                                                 """
142,Hsa.810,R28373,3' UTR,1,133722,HEMOGLOBIN BETA CHAIN (HUMAN);.
143,Hsa.2071,X69723,gene,1,N/A,H.sapiens TPI1 gene for triosephosphate isomerase.
144,Hsa.2655,H48072,3' UTR,1,193348,CYTOCHROME C OXIDASE POLYPEPTIDE VIA-LIVER (HUMAN);.
145,Hsa.91,M99626,gene,1,N/A,"""Human Mid1 gene, partial cds.                                                                                                                                                                                                                          """
146,Hsa.558,R34698,3' UTR,1,136738,INTERFERON-INDUCIBLE PROTEIN 9-27 (HUMAN);.
147,Hsa.1222,M19283,gene,1,N/A,"""Human cytoskeletal gamma-actin gene, complete cds.                                                                                                                                                                                                   """
148,Hsa.3017,T95063,3' UTR,1,120122,40S RIBOSOMAL PROTEIN S26 (HUMAN);.
149,Hsa.3409,T53396,3' UTR,2a,68775,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus)
150,Hsa.652,M86553,gene,1,N/A,"""Human cathepsin S mRNA, complete cds.                                                                                                                                                                                                                 """
151,Hsa.1829,X00700,gene,1,N/A,Human mRNA fragment for class II histocompatibility antigen beta-chain (pII-beta-4).
152,Hsa.1367,T74906,3' UTR,1,84928,CYTOCHROME P450 IIA7 (HUMAN);.
153,Hsa.63,J03077,gene,1,N/A,PROACTIVATOR POLYPEPTIDE PRECURSOR (HUMAN);contains TAR1 repetitive element ;.
154,Hsa.27491,R98959,3' UTR,1,200858,"""Homo sapiens very long chain acyl-CoA dehydrogenase gene, exons 1-20, complete cds.                                                                                                                                                         """
155,Hsa.1803,M29273,gene,1,N/A,MYELIN-ASSOCIATED GLYCOPROTEIN PRECURSOR (HUMAN);.
156,Hsa.3197,X87838,gene,1,N/A,H.sapiens mRNA for beta-catenin.
157,Hsa.22614,R37276,3' UTR,2a,25988,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens)
158,Hsa.45604,H88360,3' UTR,2a,252849,"""GUANINE NUCLEOTIDE-BINDING PROTEIN G(OLF), ALPHA SUBUNIT (Rattus norvegicus)                                                                                                                                                               """
159,Hsa.36957,H43908,3' UTR,2a,183315,TRANSFORMING GROWTH FACTOR BETA 2 PRECURSOR (Gallus gallus)
160,Hsa.11096,T57882,3' UTR,2a,71636,"""MYOSIN HEAVY CHAIN, NONMUSCLE TYPE A (Homo sapiens)                                                                                                                                                                                         """
161,Hsa.10306,T90774,3' UTR,2a,111461,SOX-4 PROTEIN (Homo sapiens)
162,Hsa.43252,H70425,3' UTR,2a,213691,INTERFERON-ALPHA RECEPTOR PRECURSOR (Homo sapiens)
163,Hsa.5821,X57351,gene,1,N/A,INTERFERON-INDUCIBLE PROTEIN 1-8D (HUMAN);contains MSR1 repetitive element ;.
164,Hsa.733,M14200,gene,1,N/A,"""Human diazepam binding inhibitor (DBI) mRNA, complete cds.                                                                                                                                                                                            """
165,Hsa.2357,T52342,3' UTR,1,72028,Human tra1 mRNA for human homologue of murine tumor rejection antigen gp96.
166,Hsa.31,T57780,3' UTR,1,80626,IG LAMBDA CHAIN C REGIONS (HUMAN).
167,Hsa.24539,H06970,3' UTR,2a,44769,SERINE/THREONINE-PROTEIN KINASE PAK (Rattus norvegicus)
168,Hsa.22614,R37276,3' UTR,2a,25988,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens)
169,Hsa.6146,Z48950,gene,1,N/A,H.sapiens hH3.3B gene for histone H3.3.
170,Hsa.45604,H88360,3' UTR,2a,252849,"""GUANINE NUCLEOTIDE-BINDING PROTEIN G(OLF), ALPHA SUBUNIT (Rattus norvegicus)                                                                                                                                                               """
171,Hsa.19,D12765,gene,1,N/A,Human mRNA for E1A-F.
172,Hsa.644,M19311,gene,1,N/A,"""Human calmodulin mRNA, complete cds.                                                                                                                                                                                                                  """
173,Hsa.21418,R07333,3' UTR,2a,125555,CYCLIC-AMP-DEPENDENT TRANSCRIPTION FACTOR ATF-4 (Homo sapiens)
174,Hsa.18664,T94579,3' UTR,1,119384,"""Human chitotriosidase precursor mRNA, complete cds.                                                                                                                                                                                         """
175,Hsa.25451,R24425,3' UTR,2a,131639,"""GUANINE NUCLEOTIDE-BINDING PROTEIN G(OLF), ALPHA SUBUNIT (Rattus norvegicus)                                                                                                                                                               """
176,Hsa.8831,T49941,3' UTR,1,69828,PUTATIVE INSULIN-LIKE GROWTH FACTOR II ASSOCIATED (HUMAN).
177,Hsa.10510,T54650,3' UTR,2a,73757,"""HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, F ALPHA CHAIN PRECURSOR (Homo sapiens)                                                                                                                                                              """
178,Hsa.514,D13705,gene,1,N/A,"""Human mRNA for fatty acids omega-hydroxylase (cytochrome P-450HKV), complete cds.                                                                                                                                                                     """
179,Hsa.2663,T57872,3' UTR,1,71615,CYTOCHROME C OXIDASE POLYPEPTIDE VIB (HUMAN).
180,Hsa.120,D14662,gene,1,N/A,"""Human mRNA for ORF, complete cds.                                                                                                                                                                                                                     """
181,Hsa.1137,T57686,3' UTR,1,79398,TUBULIN ALPHA-1 CHAIN (HUMAN).
182,Hsa.2831,X51346,gene,1,N/A,Human jun-D mRNA for JUN-D protein.
183,Hsa.2015,M77693,gene,1,N/A,"""Spermidine/spermine N1-acetyltransferase mRNA, complete cds.                                                                                                                                                                                         """
184,Hsa.10305,T55558,3' UTR,2a,73527,MACROPHAGE COLONY STIMULATING FACTOR-1 PRECURSOR (Homo sapiens)
185,Hsa.2244,L38810,gene,1,N/A,"""Homo sapiens thyroid receptor interactor (TRIP1) mRNA, complete cds.                                                                                                                                                                                 """
186,Hsa.832,T51023,3' UTR,1,75127,HEAT SHOCK PROTEIN HSP 90-BETA (HUMAN).
187,Hsa.1116,T63133,3' UTR,1,79272,THYMOSIN BETA-10 (HUMAN);.
188,Hsa.422,T64467,3' UTR,1,80480,P33477 ANNEXIN XI ;.
189,Hsa.2773,D63874,gene,1,N/A,Human mRNA for HMG-1.
190,Hsa.39141,R93738,3' UTR,2a,197822,GRANULINS PRECURSOR (Cavia porcellus)
191,Hsa.1822,M27539,gene,1,N/A,"""Human MHC class I HLA-A cell surface antigen mRNA, (HLA-A28,-B40, -Cw3), clone LB45.                                                                                                                                                                 """
192,Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens)
193,Hsa.580,Z22572,gene,1,N/A,H.sapiens CDEI binding protein mRNA.
194,Hsa.24948,R50864,3' UTR,2a,37564,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN K (Homo sapiens)
195,Hsa.24652,R43309,3' UTR,2a,32758,ZONA PELLUCIDA SPERM-BINDING PROTEIN 2 PRECURSOR (Homo sapiens)
196,Hsa.2463,X83535,gene,1,N/A,H.sapiens mRNA for membrane-type matrix metalloproteinase.
197,Hsa.3003,T57630,3' UTR,1,75459,S34195 RIBOSOMAL PROTEIN L3 -.
198,Hsa.812,L28010,gene,1,N/A,"""Homo sapiens HnRNP F protein mRNA, complete cds.                                                                                                                                                                                                      """
199,Hsa.8305,T61338,3' UTR,2a,78027,PROHIBITIN (Rattus norvegicus)
200,Hsa.1130,Z24727,gene,1,N/A,"""H.sapiens tropomyosin isoform mRNA, complete CDS.                                                                                                                                                                                                    """
201,Hsa.2360,X15822,gene,1,N/A,Human COX VIIa-L mRNA for liver-specific cytochrome c oxidase (EC 1.9.3.1.).
202,Hsa.570,L12168,gene,1,N/A,"""Homo sapiens adenylyl cyclase-associated protein (CAP) mRNA, complete cds.                                                                                                                                                                            """
203,Hsa.15115,T76972,3' UTR,2a,113741,RNA-BINDING PROTEIN FUS/TLS (Homo sapiens)
204,Hsa.36074,H28452,3' UTR,2a,181783,BRAIN CALCIUM CHANNEL BI-2 PROTEIN (Oryctolagus cuniculus)
205,Hsa.304,L16510,gene,1,N/A,"""Homo sapiens cathepsin B mRNA, complete cds.                                                                                                                                                                                                          """
206,Hsa.7498,R21547,3' UTR,2a,130227,TRANS-ACTING TRANSCRIPTIONAL PROTEIN ICP0 (Bovine herpesvirus type 1)
207,Hsa.338,D30655,gene,1,N/A,Human mRNA for eukaryotic initiation factor 4AII.
208,Hsa.6671,T61632,3' UTR,2a,78126,CASEIN KINASE I HOMOLOG HRR25 (Saccharomyces cerevisiae)
209,Hsa.2846,X02152,gene,1,N/A,"""Human mRNA for lactate dehydrogenase-A (LDH-A, EC 1.1.1.27).                                                                                                                                                                                         """
210,Hsa.9255,T47424,3' UTR,2a,71094,INSULIN RECEPTOR SUBSTRATE-1 (Homo sapiens)
211,Hsa.915,H50623,3' UTR,1,186767,"""HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR-7 BETA CHAIN (HUMAN);.                                                                                                                                                                            """
212,Hsa.9817,T50334,3' UTR,2a,72201,14-3-3-LIKE PROTEIN GF14 OMEGA (Arabidopsis thaliana)
213,Hsa.1181,L09159,gene,1,N/A,"""Homo sapiens RHOA proto-oncogene multi-drug-resistance protein mRNA, 3' end.                                                                                                                                                                         """
214,Hsa.26128,R28281,3' UTR,2a,134714,LOW-DENSITY LIPOPROTEIN RECEPTOR (Bos taurus)
215,Hsa.546,L26339,gene,1,N/A,"""Human autoantigen mRNA, complete cds.                                                                                                                                                                                                                 """
216,Hsa.991,H15901,3' UTR,1,159433,LYSOSOMAL PROTECTIVE PROTEIN PRECURSOR (HUMAN);.
217,Hsa.31882,R67075,3' UTR,2a,140771,ZINC FINGER X-CHROMOSOMAL PROTEIN (Mus musculus)
218,Hsa.3922,X75861,gene,1,N/A,H.sapiens TEGT gene.
219,Hsa.41218,X84707,gene,1,N/A,H.sapiens MIA gene.
220,Hsa.2710,X53743,gene,1,N/A,H.sapiens mRNA for fibulin-1 C.
221,Hsa.307,L22214,gene,1,N/A,"""Human adenosine A1 receptor (ADORA1) mRNA exons 1-6, complete cds.                                                                                                                                                                                    """
222,Hsa.587,Y00264,gene,1,N/A,Human mRNA for amyloid A4 precursor of Alzheimer's disease.
223,Hsa.2095,T51852,3' UTR,1,75026,VIMENTIN (HUMAN).
224,Hsa.3547,T70595,3' UTR,1,108329,CYTOCHROME C OXIDASE POLYPEPTIDE VIIC PRECURSOR (HUMAN);.
225,Hsa.3295,M22806,gene,1,N/A,"""Human prolyl 4-hydroxylase beta-subunit and disulfide isomerase (P4HB) gene, exon 11, clones 6B-(1,3,5,6).                                                                                                                                           """
226,Hsa.778,M64445,gene,1,N/A,"""Human GM-CSF receptor mRNA, complete cds.                                                                                                                                                                                                             """
227,Hsa.2014,J03040,gene,1,N/A,SPARC PRECURSOR (HUMAN);contains MSR1 repetitive element ;.
228,Hsa.1190,T74556,3' UTR,1,84680,"""ATP SYNTHASE ALPHA CHAIN, MITOCHONDRIAL PRECURSOR (HUMAN);.                                                                                                                                                                                   """
229,Hsa.4954,H20505,3' UTR,2a,173124,RAC-ALPHA SERINE/THREONINE KINASE (Homo sapiens)
230,Hsa.1939,X17042,gene,1,N/A,Human mRNA for hematopoetic proteoglycan core protein.
231,Hsa.3150,D31883,gene,1,N/A,"""Human mRNA (KIAA0059) for ORF (related to actin bundling protein dematn), complete cds.                                                                                                                                                              """
232,Hsa.568,M62994,gene,1,N/A,"""Homo sapiens thyroid autoantigen (truncated actin-binding protein) mRNA, complete cds.                                                                                                                                                                """
233,Hsa.4992,R42265,3' UTR,2a,30769,PROACTIVATOR POLYPEPTIDE PRECURSOR (Homo sapiens)
234,Hsa.1006,T63591,3' UTR,1,79994,60S ACIDIC RIBOSOMAL PROTEIN P0 (HUMAN);.
235,Hsa.9277,R62425,3' UTR,2a,36222,ALBUMIN B-32 PROTEIN (Zea mays)
